"Step","timechat - recall","timechat - recall__MIN","timechat - recall__MAX"
"14","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"31","0.29411764705882354","0.29411764705882354","0.29411764705882354"
"54","1","1","1"
"72","1","1","1"
"84","1","1","1"
"103","0.9473684210526315","0.9473684210526315","0.9473684210526315"
"118","0.8666666666666667","0.8666666666666667","0.8666666666666667"
"149","0.5882352941176471","0.5882352941176471","0.5882352941176471"
"188","1","1","1"
"199","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"222","1","1","1"
"240","0.2222222222222222","0.2222222222222222","0.2222222222222222"
"249","0.2222222222222222","0.2222222222222222","0.2222222222222222"
"269","0.55","0.55","0.55"
"287","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"298","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"314","1","1","1"
"325","0.6363636363636364","0.6363636363636364","0.6363636363636364"
"332","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"357","0.24","0.24","0.24"
"377","0.7","0.7","0.7"
"390","0.38461538461538464","0.38461538461538464","0.38461538461538464"
"409","0.15789473684210525","0.15789473684210525","0.15789473684210525"
"434","0.56","0.56","0.56"
"453","0.42105263157894735","0.42105263157894735","0.42105263157894735"
"466","1","1","1"
"478","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"495","1","1","1"
"509","0.9285714285714286","0.9285714285714286","0.9285714285714286"
"528","0.9473684210526315","0.9473684210526315","0.9473684210526315"
"553","1","1","1"
"560","0.42857142857142855","0.42857142857142855","0.42857142857142855"
"571","1","1","1"
"582","0.09090909090909091","0.09090909090909091","0.09090909090909091"
"597","1","1","1"
"617","1","1","1"
"624","0","0","0"
"631","0.8571428571428571","0.8571428571428571","0.8571428571428571"
"651","1","1","1"
"666","0.06666666666666667","0.06666666666666667","0.06666666666666667"
"678","0.9166666666666666","0.9166666666666666","0.9166666666666666"
"689","0.8181818181818182","0.8181818181818182","0.8181818181818182"
"708","1","1","1"
"727","0.9473684210526315","0.9473684210526315","0.9473684210526315"
"734","0","0","0"
"749","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"758","0.1111111111111111","0.1111111111111111","0.1111111111111111"
"769","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"795","0.6363636363636364","0.6363636363636364","0.6363636363636364"
"806","0.2727272727272727","0.2727272727272727","0.2727272727272727"
"817","1","1","1"
"828","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"839","1","1","1"
"857","1","1","1"
"868","0.9090909090909091","0.9090909090909091","0.9090909090909091"
"877","1","1","1"
"900","0.13043478260869565","0.13043478260869565","0.13043478260869565"
"923","1","1","1"
"930","0.8571428571428571","0.8571428571428571","0.8571428571428571"
"946","1","1","1"
"965","0.10526315789473684","0.10526315789473684","0.10526315789473684"
"980","0.8666666666666667","0.8666666666666667","0.8666666666666667"
